row_count,field_count,field_name_values,issuedate_min,issuedate_max,new_class_unique_count,new_class_unique_values,new_type_unique_count,new_type_unique_values,usetype_unique_count,usetype_values,units_unique_count,units_unique_values,value_unique_count,value_unique_values,sqft_unique_count,sqft_unique_values,nbrhood_unique_count,nbrhood_unique_values
,,,,,,,,,,,,176,,8898,,350,,
,,,,,,,,,,,,177,,8950,,352,,
,,,,,,,,,,,,178,,9000,,355,,
,,,,,,,,,,,,180,,9100,,358,,
,,,,,,,,,,,,181,,9142,,359,,
,,,,,,,,,,,,182,,9200,,360,,
,,,,,,,,,,,,185,,9250,,368,,
,,,,,,,,,,,,186,,9296,,370,,
,,,,,,,,,,,,194,,9300,,371,,
,,,,,,,,,,,,196,,9301,,374,,
,,,,,,,,,,,,198,,9500,,375,,
,,,,,,,,,,,,199,,9591,,376,,
,,,,,,,,,,,,202,,9706,,378,,
,,,,,,,,,,,,206,,9715,,379,,
,,,,,,,,,,,,208,,9767,,380,,
,,,,,,,,,,,,209,,9787,,382,,
,,,,,,,,,,,,210,,9800,,383,,
,,,,,,,,,,,,211,,9900,,384,,
,,,,,,,,,,,,212,,9995,,385,,
,,,,,,,,,,,,222,,10000,,390,,
,,,,,,,,,,,,223,,10056,,392,,
,,,,,,,,,,,,224,,10071,,396,,
,,,,,,,,,,,,231,,10400,,397,,
,,,,,,,,,,,,240,,10545,,400,,
,,,,,,,,,,,,245,,10565,,402,,
,,,,,,,,,,,,250,,10734,,404,,
,,,,,,,,,,,,261,,10871,,405,,
,,,,,,,,,,,,262,,10900,,408,,
,,,,,,,,,,,,265,,10927,,410,,
,,,,,,,,,,,,273,,10958,,416,,
,,,,,,,,,,,,274,,10967,,418,,
,,,,,,,,,,,,281,,11000,,419,,
,,,,,,,,,,,,282,,11215,,420,,
,,,,,,,,,,,,284,,11300,,421,,
,,,,,,,,,,,,290,,11399,,425,,
,,,,,,,,,,,,294,,11421,,430,,
,,,,,,,,,,,,303,,11469,,432,,
,,,,,,,,,,,,323,,11500,,434,,
,,,,,,,,,,,,332,,11810,,435,,
,,,,,,,,,,,,337,,11835,,436,,
,,,,,,,,,,,,354,,11984,,437,,
,,,,,,,,,,,,384,,12000,,438,,
,,,,,,,,,,,,,,12073,,439,,
,,,,,,,,,,,,,,12100,,440,,
,,,,,,,,,,,,,,12193,,441,,
,,,,,,,,,,,,,,12200,,444,,
,,,,,,,,,,,,,,12408,,445,,
,,,,,,,,,,,,,,12436,,448,,
,,,,,,,,,,,,,,12500,,450,,
,,,,,,,,,,,,,,12538,,454,,
,,,,,,,,,,,,,,12604,,455,,
,,,,,,,,,,,,,,13000,,456,,
,,,,,,,,,,,,,,13071,,460,,
,,,,,,,,,,,,,,13230,,461,,
,,,,,,,,,,,,,,13267,,462,,
,,,,,,,,,,,,,,13328,,464,,
,,,,,,,,,,,,,,13340,,465,,
,,,,,,,,,,,,,,13350,,468,,
,,,,,,,,,,,,,,13500,,469,,
,,,,,,,,,,,,,,13600,,472,,
,,,,,,,,,,,,,,13875,,473,,
,,,,,,,,,,,,,,13919,,475,,
,,,,,,,,,,,,,,14000,,476,,
,,,,,,,,,,,,,,14300,,478,,
,,,,,,,,,,,,,,14407,,480,,
,,,,,,,,,,,,,,14549,,481,,
,,,,,,,,,,,,,,14633,,483,,
,,,,,,,,,,,,,,14879,,484,,
,,,,,,,,,,,,,,14964,,486,,
,,,,,,,,,,,,,,15000,,487,,
,,,,,,,,,,,,,,15131,,488,,
,,,,,,,,,,,,,,15330,,489,,
,,,,,,,,,,,,,,15346,,492,,
,,,,,,,,,,,,,,15418,,495,,
,,,,,,,,,,,,,,15500,,496,,
,,,,,,,,,,,,,,15588,,497,,
,,,,,,,,,,,,,,15600,,500,,
,,,,,,,,,,,,,,15979,,502,,
,,,,,,,,,,,,,,16000,,503,,
,,,,,,,,,,,,,,16250,,504,,
,,,,,,,,,,,,,,16358,,506,,
,,,,,,,,,,,,,,16366,,510,,
,,,,,,,,,,,,,,16400,,515,,
,,,,,,,,,,,,,,16555,,517,,
,,,,,,,,,,,,,,16680,,520,,
,,,,,,,,,,,,,,16704,,521,,
,,,,,,,,,,,,,,16764,,522,,
,,,,,,,,,,,,,,17000,,526,,
,,,,,,,,,,,,,,17093,,527,,
,,,,,,,,,,,,,,17107,,528,,
,,,,,,,,,,,,,,17167,,529,,
,,,,,,,,,,,,,,17200,,530,,
,,,,,,,,,,,,,,17280,,531,,
,,,,,,,,,,,,,,17376,,532,,
,,,,,,,,,,,,,,17500,,534,,
,,,,,,,,,,,,,,17645,,536,,
,,,,,,,,,,,,,,17738,,538,,
,,,,,,,,,,,,,,17820,,540,,
,,,,,,,,,,,,,,17845,,541,,
,,,,,,,,,,,,,,17867,,544,,
,,,,,,,,,,,,,,17958,,545,,
,,,,,,,,,,,,,,17999,,546,,
,,,,,,,,,,,,,,18000,,550,,
,,,,,,,,,,,,,,18013,,551,,
,,,,,,,,,,,,,,18342,,552,,
,,,,,,,,,,,,,,18380,,554,,
,,,,,,,,,,,,,,18400,,560,,
,,,,,,,,,,,,,,18415,,562,,
,,,,,,,,,,,,,,18452,,567,,
,,,,,,,,,,,,,,18500,,568,,
,,,,,,,,,,,,,,18560,,572,,
,,,,,,,,,,,,,,18594,,575,,
,,,,,,,,,,,,,,18689,,576,,
,,,,,,,,,,,,,,18720,,579,,
,,,,,,,,,,,,,,18797,,580,,
,,,,,,,,,,,,,,18844,,581,,
,,,,,,,,,,,,,,18845,,582,,
,,,,,,,,,,,,,,18987,,583,,
,,,,,,,,,,,,,,18998,,585,,
,,,,,,,,,,,,,,19000,,588,,
,,,,,,,,,,,,,,19052,,589,,
,,,,,,,,,,,,,,19100,,590,,
,,,,,,,,,,,,,,19273,,591,,
,,,,,,,,,,,,,,19409,,592,,
,,,,,,,,,,,,,,19431,,594,,
,,,,,,,,,,,,,,19500,,598,,
,,,,,,,,,,,,,,19916,,599,,
,,,,,,,,,,,,,,19953,,600,,
,,,,,,,,,,,,,,19982,,601,,
,,,,,,,,,,,,,,20000,,602,,
,,,,,,,,,,,,,,20586,,604,,
,,,,,,,,,,,,,,20680,,605,,
,,,,,,,,,,,,,,20698,,606,,
,,,,,,,,,,,,,,21000,,608,,
,,,,,,,,,,,,,,21105,,610,,
,,,,,,,,,,,,,,21163,,611,,
,,,,,,,,,,,,,,21174,,612,,
,,,,,,,,,,,,,,21192,,613,,
,,,,,,,,,,,,,,21210,,614,,
,,,,,,,,,,,,,,21240,,616,,
,,,,,,,,,,,,,,21288,,617,,
,,,,,,,,,,,,,,21353,,618,,
,,,,,,,,,,,,,,21373,,620,,
,,,,,,,,,,,,,,21500,,621,,
,,,,,,,,,,,,,,21652,,623,,
,,,,,,,,,,,,,,21700,,624,,
,,,,,,,,,,,,,,22000,,625,,
,,,,,,,,,,,,,,22093,,626,,
,,,,,,,,,,,,,,22282,,630,,
,,,,,,,,,,,,,,22306,,636,,
,,,,,,,,,,,,,,22400,,638,,
,,,,,,,,,,,,,,22440,,640,,
,,,,,,,,,,,,,,22487,,646,,
,,,,,,,,,,,,,,22500,,648,,
,,,,,,,,,,,,,,22516,,650,,
,,,,,,,,,,,,,,22520,,651,,
,,,,,,,,,,,,,,22530,,652,,
,,,,,,,,,,,,,,22551,,653,,
,,,,,,,,,,,,,,22568,,654,,
,,,,,,,,,,,,,,22596,,655,,
,,,,,,,,,,,,,,22665,,656,,
,,,,,,,,,,,,,,22715,,657,,
,,,,,,,,,,,,,,22928,,660,,
,,,,,,,,,,,,,,22938,,666,,
,,,,,,,,,,,,,,23000,,667,,
,,,,,,,,,,,,,,23110,,671,,
,,,,,,,,,,,,,,23126,,672,,
,,,,,,,,,,,,,,23343,,673,,
,,,,,,,,,,,,,,23379,,674,,
,,,,,,,,,,,,,,23485,,675,,
,,,,,,,,,,,,,,23500,,676,,
,,,,,,,,,,,,,,23940,,678,,
,,,,,,,,,,,,,,23950,,680,,
,,,,,,,,,,,,,,24000,,682,,
,,,,,,,,,,,,,,24010,,683,,
,,,,,,,,,,,,,,24200,,684,,
,,,,,,,,,,,,,,24375,,685,,
,,,,,,,,,,,,,,24484,,687,,
,,,,,,,,,,,,,,24500,,691,,
,,,,,,,,,,,,,,24553,,693,,
,,,,,,,,,,,,,,24585,,694,,
,,,,,,,,,,,,,,24671,,695,,
,,,,,,,,,,,,,,24776,,696,,
,,,,,,,,,,,,,,24850,,700,,
,,,,,,,,,,,,,,24920,,701,,
,,,,,,,,,,,,,,24983,,702,,
,,,,,,,,,,,,,,24999,,708,,
,,,,,,,,,,,,,,25000,,710,,
,,,,,,,,,,,,,,25001,,711,,
,,,,,,,,,,,,,,25075,,713,,
,,,,,,,,,,,,,,25129,,714,,
,,,,,,,,,,,,,,25313,,715,,
,,,,,,,,,,,,,,25340,,716,,
,,,,,,,,,,,,,,25378,,720,,
,,,,,,,,,,,,,,25460,,721,,
,,,,,,,,,,,,,,25485,,723,,
,,,,,,,,,,,,,,25585,,724,,
,,,,,,,,,,,,,,25679,,728,,
,,,,,,,,,,,,,,25699,,730,,
,,,,,,,,,,,,,,25800,,731,,
,,,,,,,,,,,,,,25859,,734,,
,,,,,,,,,,,,,,25890,,735,,
,,,,,,,,,,,,,,25945,,736,,
,,,,,,,,,,,,,,25955,,739,,
,,,,,,,,,,,,,,26000,,740,,
,,,,,,,,,,,,,,26054,,742,,
,,,,,,,,,,,,,,26119,,743,,
,,,,,,,,,,,,,,26120,,744,,
,,,,,,,,,,,,,,26180,,747,,
,,,,,,,,,,,,,,26249,,748,,
,,,,,,,,,,,,,,26288,,749,,
,,,,,,,,,,,,,,26504,,750,,
,,,,,,,,,,,,,,26600,,751,,
,,,,,,,,,,,,,,26627,,753,,
,,,,,,,,,,,,,,26855,,757,,
,,,,,,,,,,,,,,26994,,758,,
,,,,,,,,,,,,,,27000,,760,,
,,,,,,,,,,,,,,27010,,761,,
,,,,,,,,,,,,,,27019,,762,,
,,,,,,,,,,,,,,27112,,765,,
,,,,,,,,,,,,,,27166,,767,,
,,,,,,,,,,,,,,27252,,768,,
,,,,,,,,,,,,,,27400,,769,,
,,,,,,,,,,,,,,27410,,770,,
,,,,,,,,,,,,,,27500,,771,,
,,,,,,,,,,,,,,27558,,772,,
,,,,,,,,,,,,,,27621,,775,,
,,,,,,,,,,,,,,27628,,776,,
,,,,,,,,,,,,,,27658,,779,,
,,,,,,,,,,,,,,27665,,780,,
,,,,,,,,,,,,,,27900,,782,,
,,,,,,,,,,,,,,27910,,784,,
,,,,,,,,,,,,,,27950,,785,,
,,,,,,,,,,,,,,27965,,786,,
,,,,,,,,,,,,,,28000,,787,,
,,,,,,,,,,,,,,28063,,788,,
,,,,,,,,,,,,,,28088,,789,,
,,,,,,,,,,,,,,28210,,790,,
,,,,,,,,,,,,,,28232,,791,,
,,,,,,,,,,,,,,28305,,792,,
,,,,,,,,,,,,,,28400,,793,,
,,,,,,,,,,,,,,28409,,794,,
,,,,,,,,,,,,,,28441,,795,,
,,,,,,,,,,,,,,28458,,796,,
,,,,,,,,,,,,,,28520,,797,,
,,,,,,,,,,,,,,28560,,798,,
,,,,,,,,,,,,,,28628,,799,,
,,,,,,,,,,,,,,28636,,800,,
,,,,,,,,,,,,,,28681,,802,,
,,,,,,,,,,,,,,28770,,803,,
,,,,,,,,,,,,,,28857,,804,,
,,,,,,,,,,,,,,28952,,805,,
,,,,,,,,,,,,,,29000,,806,,
