row_count,field_count,field_name_values,issuedate_min,issuedate_max,new_class_unique_count,new_class_unique_values,new_type_unique_count,new_type_unique_values,usetype_unique_count,usetype_values,units_unique_count,units_unique_values,value_unique_count,value_unique_values,sqft_unique_count,sqft_unique_values,nbrhood_unique_count,nbrhood_unique_values
,,,,,,,,,,,,,,146275,,,,
,,,,,,,,,,,,,,146295,,,,
,,,,,,,,,,,,,,146298,,,,
,,,,,,,,,,,,,,146314,,,,
,,,,,,,,,,,,,,146315,,,,
,,,,,,,,,,,,,,146335,,,,
,,,,,,,,,,,,,,146343,,,,
,,,,,,,,,,,,,,146345,,,,
,,,,,,,,,,,,,,146348,,,,
,,,,,,,,,,,,,,146362,,,,
,,,,,,,,,,,,,,146374,,,,
,,,,,,,,,,,,,,146388,,,,
,,,,,,,,,,,,,,146394,,,,
,,,,,,,,,,,,,,146417,,,,
,,,,,,,,,,,,,,146478,,,,
,,,,,,,,,,,,,,146518,,,,
,,,,,,,,,,,,,,146538,,,,
,,,,,,,,,,,,,,146579,,,,
,,,,,,,,,,,,,,146611,,,,
,,,,,,,,,,,,,,146619,,,,
,,,,,,,,,,,,,,146629,,,,
,,,,,,,,,,,,,,146664,,,,
,,,,,,,,,,,,,,146665,,,,
,,,,,,,,,,,,,,146671,,,,
,,,,,,,,,,,,,,146708,,,,
,,,,,,,,,,,,,,146710,,,,
,,,,,,,,,,,,,,146729,,,,
,,,,,,,,,,,,,,146742,,,,
,,,,,,,,,,,,,,146757,,,,
,,,,,,,,,,,,,,146760,,,,
,,,,,,,,,,,,,,146776,,,,
,,,,,,,,,,,,,,146795,,,,
,,,,,,,,,,,,,,146800,,,,
,,,,,,,,,,,,,,146807,,,,
,,,,,,,,,,,,,,146810,,,,
,,,,,,,,,,,,,,146821,,,,
,,,,,,,,,,,,,,146824,,,,
,,,,,,,,,,,,,,146837,,,,
,,,,,,,,,,,,,,146844,,,,
,,,,,,,,,,,,,,146863,,,,
,,,,,,,,,,,,,,146916,,,,
,,,,,,,,,,,,,,146917,,,,
,,,,,,,,,,,,,,146928,,,,
,,,,,,,,,,,,,,146930,,,,
,,,,,,,,,,,,,,146943,,,,
,,,,,,,,,,,,,,146953,,,,
,,,,,,,,,,,,,,146961,,,,
,,,,,,,,,,,,,,147000,,,,
,,,,,,,,,,,,,,147015,,,,
,,,,,,,,,,,,,,147019,,,,
,,,,,,,,,,,,,,147022,,,,
,,,,,,,,,,,,,,147067,,,,
,,,,,,,,,,,,,,147072,,,,
,,,,,,,,,,,,,,147082,,,,
,,,,,,,,,,,,,,147101,,,,
,,,,,,,,,,,,,,147187,,,,
,,,,,,,,,,,,,,147199,,,,
,,,,,,,,,,,,,,147204,,,,
,,,,,,,,,,,,,,147217,,,,
,,,,,,,,,,,,,,147224,,,,
,,,,,,,,,,,,,,147228,,,,
,,,,,,,,,,,,,,147233,,,,
,,,,,,,,,,,,,,147242,,,,
,,,,,,,,,,,,,,147248,,,,
,,,,,,,,,,,,,,147269,,,,
,,,,,,,,,,,,,,147301,,,,
,,,,,,,,,,,,,,147331,,,,
,,,,,,,,,,,,,,147343,,,,
,,,,,,,,,,,,,,147348,,,,
,,,,,,,,,,,,,,147378,,,,
,,,,,,,,,,,,,,147393,,,,
,,,,,,,,,,,,,,147408,,,,
,,,,,,,,,,,,,,147414,,,,
,,,,,,,,,,,,,,147444,,,,
,,,,,,,,,,,,,,147454,,,,
,,,,,,,,,,,,,,147462,,,,
,,,,,,,,,,,,,,147475,,,,
,,,,,,,,,,,,,,147511,,,,
,,,,,,,,,,,,,,147528,,,,
,,,,,,,,,,,,,,147535,,,,
,,,,,,,,,,,,,,147540,,,,
,,,,,,,,,,,,,,147552,,,,
,,,,,,,,,,,,,,147576,,,,
,,,,,,,,,,,,,,147581,,,,
,,,,,,,,,,,,,,147600,,,,
,,,,,,,,,,,,,,147616,,,,
,,,,,,,,,,,,,,147626,,,,
,,,,,,,,,,,,,,147646,,,,
,,,,,,,,,,,,,,147651,,,,
,,,,,,,,,,,,,,147652,,,,
,,,,,,,,,,,,,,147663,,,,
,,,,,,,,,,,,,,147670,,,,
,,,,,,,,,,,,,,147673,,,,
,,,,,,,,,,,,,,147674,,,,
,,,,,,,,,,,,,,147690,,,,
,,,,,,,,,,,,,,147710,,,,
,,,,,,,,,,,,,,147716,,,,
,,,,,,,,,,,,,,147728,,,,
,,,,,,,,,,,,,,147731,,,,
,,,,,,,,,,,,,,147748,,,,
,,,,,,,,,,,,,,147765,,,,
,,,,,,,,,,,,,,147774,,,,
,,,,,,,,,,,,,,147784,,,,
,,,,,,,,,,,,,,147848,,,,
,,,,,,,,,,,,,,147855,,,,
,,,,,,,,,,,,,,147856,,,,
,,,,,,,,,,,,,,147863,,,,
,,,,,,,,,,,,,,147877,,,,
,,,,,,,,,,,,,,147881,,,,
,,,,,,,,,,,,,,147885,,,,
,,,,,,,,,,,,,,147915,,,,
,,,,,,,,,,,,,,147920,,,,
,,,,,,,,,,,,,,147926,,,,
,,,,,,,,,,,,,,147933,,,,
,,,,,,,,,,,,,,147972,,,,
,,,,,,,,,,,,,,147977,,,,
,,,,,,,,,,,,,,147980,,,,
,,,,,,,,,,,,,,147987,,,,
,,,,,,,,,,,,,,148000,,,,
,,,,,,,,,,,,,,148009,,,,
,,,,,,,,,,,,,,148017,,,,
,,,,,,,,,,,,,,148029,,,,
,,,,,,,,,,,,,,148043,,,,
,,,,,,,,,,,,,,148081,,,,
,,,,,,,,,,,,,,148090,,,,
,,,,,,,,,,,,,,148119,,,,
,,,,,,,,,,,,,,148132,,,,
,,,,,,,,,,,,,,148136,,,,
,,,,,,,,,,,,,,148137,,,,
,,,,,,,,,,,,,,148155,,,,
,,,,,,,,,,,,,,148162,,,,
,,,,,,,,,,,,,,148165,,,,
,,,,,,,,,,,,,,148183,,,,
,,,,,,,,,,,,,,148184,,,,
,,,,,,,,,,,,,,148187,,,,
,,,,,,,,,,,,,,148216,,,,
,,,,,,,,,,,,,,148226,,,,
,,,,,,,,,,,,,,148254,,,,
,,,,,,,,,,,,,,148256,,,,
,,,,,,,,,,,,,,148271,,,,
,,,,,,,,,,,,,,148292,,,,
,,,,,,,,,,,,,,148303,,,,
,,,,,,,,,,,,,,148304,,,,
,,,,,,,,,,,,,,148318,,,,
,,,,,,,,,,,,,,148320,,,,
,,,,,,,,,,,,,,148330,,,,
,,,,,,,,,,,,,,148346,,,,
,,,,,,,,,,,,,,148349,,,,
,,,,,,,,,,,,,,148352,,,,
,,,,,,,,,,,,,,148364,,,,
,,,,,,,,,,,,,,148400,,,,
,,,,,,,,,,,,,,148410,,,,
,,,,,,,,,,,,,,148412,,,,
,,,,,,,,,,,,,,148439,,,,
,,,,,,,,,,,,,,148484,,,,
,,,,,,,,,,,,,,148487,,,,
,,,,,,,,,,,,,,148518,,,,
,,,,,,,,,,,,,,148519,,,,
,,,,,,,,,,,,,,148534,,,,
,,,,,,,,,,,,,,148541,,,,
,,,,,,,,,,,,,,148542,,,,
,,,,,,,,,,,,,,148549,,,,
,,,,,,,,,,,,,,148553,,,,
,,,,,,,,,,,,,,148576,,,,
,,,,,,,,,,,,,,148578,,,,
,,,,,,,,,,,,,,148624,,,,
,,,,,,,,,,,,,,148627,,,,
,,,,,,,,,,,,,,148647,,,,
,,,,,,,,,,,,,,148653,,,,
,,,,,,,,,,,,,,148655,,,,
,,,,,,,,,,,,,,148684,,,,
,,,,,,,,,,,,,,148690,,,,
,,,,,,,,,,,,,,148756,,,,
,,,,,,,,,,,,,,148764,,,,
,,,,,,,,,,,,,,148774,,,,
,,,,,,,,,,,,,,148780,,,,
,,,,,,,,,,,,,,148784,,,,
,,,,,,,,,,,,,,148816,,,,
,,,,,,,,,,,,,,148851,,,,
,,,,,,,,,,,,,,148902,,,,
,,,,,,,,,,,,,,148909,,,,
,,,,,,,,,,,,,,148925,,,,
,,,,,,,,,,,,,,148940,,,,
,,,,,,,,,,,,,,148949,,,,
,,,,,,,,,,,,,,149003,,,,
,,,,,,,,,,,,,,149032,,,,
,,,,,,,,,,,,,,149050,,,,
,,,,,,,,,,,,,,149055,,,,
,,,,,,,,,,,,,,149067,,,,
,,,,,,,,,,,,,,149081,,,,
,,,,,,,,,,,,,,149088,,,,
,,,,,,,,,,,,,,149090,,,,
,,,,,,,,,,,,,,149096,,,,
,,,,,,,,,,,,,,149100,,,,
,,,,,,,,,,,,,,149140,,,,
,,,,,,,,,,,,,,149159,,,,
,,,,,,,,,,,,,,149162,,,,
,,,,,,,,,,,,,,149164,,,,
,,,,,,,,,,,,,,149182,,,,
,,,,,,,,,,,,,,149202,,,,
,,,,,,,,,,,,,,149228,,,,
,,,,,,,,,,,,,,149229,,,,
,,,,,,,,,,,,,,149240,,,,
,,,,,,,,,,,,,,149245,,,,
,,,,,,,,,,,,,,149263,,,,
,,,,,,,,,,,,,,149275,,,,
,,,,,,,,,,,,,,149287,,,,
,,,,,,,,,,,,,,149291,,,,
,,,,,,,,,,,,,,149299,,,,
,,,,,,,,,,,,,,149306,,,,
,,,,,,,,,,,,,,149329,,,,
,,,,,,,,,,,,,,149330,,,,
,,,,,,,,,,,,,,149359,,,,
,,,,,,,,,,,,,,149363,,,,
,,,,,,,,,,,,,,149368,,,,
,,,,,,,,,,,,,,149378,,,,
,,,,,,,,,,,,,,149386,,,,
,,,,,,,,,,,,,,149389,,,,
,,,,,,,,,,,,,,149395,,,,
,,,,,,,,,,,,,,149417,,,,
,,,,,,,,,,,,,,149426,,,,
,,,,,,,,,,,,,,149442,,,,
,,,,,,,,,,,,,,149470,,,,
,,,,,,,,,,,,,,149480,,,,
,,,,,,,,,,,,,,149496,,,,
,,,,,,,,,,,,,,149503,,,,
,,,,,,,,,,,,,,149506,,,,
,,,,,,,,,,,,,,149517,,,,
,,,,,,,,,,,,,,149521,,,,
,,,,,,,,,,,,,,149539,,,,
,,,,,,,,,,,,,,149552,,,,
,,,,,,,,,,,,,,149621,,,,
,,,,,,,,,,,,,,149629,,,,
,,,,,,,,,,,,,,149651,,,,
,,,,,,,,,,,,,,149656,,,,
,,,,,,,,,,,,,,149664,,,,
,,,,,,,,,,,,,,149665,,,,
,,,,,,,,,,,,,,149688,,,,
,,,,,,,,,,,,,,149743,,,,
,,,,,,,,,,,,,,149747,,,,
,,,,,,,,,,,,,,149750,,,,
,,,,,,,,,,,,,,149762,,,,
,,,,,,,,,,,,,,149780,,,,
,,,,,,,,,,,,,,149781,,,,
,,,,,,,,,,,,,,149792,,,,
,,,,,,,,,,,,,,149798,,,,
,,,,,,,,,,,,,,149799,,,,
,,,,,,,,,,,,,,149824,,,,
,,,,,,,,,,,,,,149834,,,,
,,,,,,,,,,,,,,149866,,,,
,,,,,,,,,,,,,,149882,,,,
,,,,,,,,,,,,,,149891,,,,
,,,,,,,,,,,,,,149903,,,,
,,,,,,,,,,,,,,149907,,,,
,,,,,,,,,,,,,,149913,,,,
,,,,,,,,,,,,,,149922,,,,
,,,,,,,,,,,,,,149934,,,,
,,,,,,,,,,,,,,149946,,,,
,,,,,,,,,,,,,,149965,,,,
,,,,,,,,,,,,,,150000,,,,
,,,,,,,,,,,,,,150005,,,,
,,,,,,,,,,,,,,150019,,,,
,,,,,,,,,,,,,,150049,,,,
,,,,,,,,,,,,,,150051,,,,
,,,,,,,,,,,,,,150058,,,,
,,,,,,,,,,,,,,150060,,,,
,,,,,,,,,,,,,,150069,,,,
,,,,,,,,,,,,,,150084,,,,
,,,,,,,,,,,,,,150112,,,,
,,,,,,,,,,,,,,150162,,,,
,,,,,,,,,,,,,,150164,,,,
,,,,,,,,,,,,,,150177,,,,
,,,,,,,,,,,,,,150190,,,,
,,,,,,,,,,,,,,150206,,,,
,,,,,,,,,,,,,,150215,,,,
,,,,,,,,,,,,,,150218,,,,
,,,,,,,,,,,,,,150219,,,,
,,,,,,,,,,,,,,150246,,,,
,,,,,,,,,,,,,,150248,,,,
,,,,,,,,,,,,,,150266,,,,
,,,,,,,,,,,,,,150271,,,,
,,,,,,,,,,,,,,150293,,,,
,,,,,,,,,,,,,,150296,,,,
,,,,,,,,,,,,,,150299,,,,
,,,,,,,,,,,,,,150306,,,,
,,,,,,,,,,,,,,150312,,,,
,,,,,,,,,,,,,,150328,,,,
,,,,,,,,,,,,,,150334,,,,
,,,,,,,,,,,,,,150364,,,,
,,,,,,,,,,,,,,150367,,,,
,,,,,,,,,,,,,,150379,,,,
,,,,,,,,,,,,,,150385,,,,
,,,,,,,,,,,,,,150398,,,,
,,,,,,,,,,,,,,150411,,,,
,,,,,,,,,,,,,,150412,,,,
,,,,,,,,,,,,,,150413,,,,
,,,,,,,,,,,,,,150430,,,,
,,,,,,,,,,,,,,150431,,,,
,,,,,,,,,,,,,,150456,,,,
,,,,,,,,,,,,,,150467,,,,
,,,,,,,,,,,,,,150472,,,,
,,,,,,,,,,,,,,150492,,,,
,,,,,,,,,,,,,,150499,,,,
,,,,,,,,,,,,,,150520,,,,
,,,,,,,,,,,,,,150540,,,,
,,,,,,,,,,,,,,150548,,,,
,,,,,,,,,,,,,,150572,,,,
,,,,,,,,,,,,,,150579,,,,
,,,,,,,,,,,,,,150605,,,,
,,,,,,,,,,,,,,150612,,,,
,,,,,,,,,,,,,,150637,,,,
,,,,,,,,,,,,,,150649,,,,
,,,,,,,,,,,,,,150655,,,,
,,,,,,,,,,,,,,150662,,,,
,,,,,,,,,,,,,,150707,,,,
,,,,,,,,,,,,,,150725,,,,
,,,,,,,,,,,,,,150735,,,,
,,,,,,,,,,,,,,150737,,,,
,,,,,,,,,,,,,,150774,,,,
,,,,,,,,,,,,,,150776,,,,
,,,,,,,,,,,,,,150796,,,,
,,,,,,,,,,,,,,150801,,,,
,,,,,,,,,,,,,,150815,,,,
,,,,,,,,,,,,,,150823,,,,
,,,,,,,,,,,,,,150836,,,,
,,,,,,,,,,,,,,150857,,,,
,,,,,,,,,,,,,,150861,,,,
,,,,,,,,,,,,,,150867,,,,
,,,,,,,,,,,,,,150881,,,,
,,,,,,,,,,,,,,150894,,,,
,,,,,,,,,,,,,,150912,,,,
,,,,,,,,,,,,,,150918,,,,
,,,,,,,,,,,,,,150920,,,,
,,,,,,,,,,,,,,150948,,,,
,,,,,,,,,,,,,,150949,,,,
,,,,,,,,,,,,,,150963,,,,
,,,,,,,,,,,,,,150980,,,,
,,,,,,,,,,,,,,151006,,,,
,,,,,,,,,,,,,,151024,,,,
,,,,,,,,,,,,,,151064,,,,
,,,,,,,,,,,,,,151070,,,,
,,,,,,,,,,,,,,151075,,,,
,,,,,,,,,,,,,,151090,,,,
,,,,,,,,,,,,,,151092,,,,
,,,,,,,,,,,,,,151105,,,,
,,,,,,,,,,,,,,151109,,,,
,,,,,,,,,,,,,,151151,,,,
,,,,,,,,,,,,,,151152,,,,
,,,,,,,,,,,,,,151161,,,,
,,,,,,,,,,,,,,151162,,,,
,,,,,,,,,,,,,,151166,,,,
,,,,,,,,,,,,,,151180,,,,
,,,,,,,,,,,,,,151187,,,,
,,,,,,,,,,,,,,151192,,,,
,,,,,,,,,,,,,,151206,,,,
,,,,,,,,,,,,,,151207,,,,
,,,,,,,,,,,,,,151235,,,,
,,,,,,,,,,,,,,151285,,,,
,,,,,,,,,,,,,,151328,,,,
,,,,,,,,,,,,,,151346,,,,
,,,,,,,,,,,,,,151363,,,,
,,,,,,,,,,,,,,151406,,,,
,,,,,,,,,,,,,,151409,,,,
,,,,,,,,,,,,,,151410,,,,
,,,,,,,,,,,,,,151423,,,,
,,,,,,,,,,,,,,151427,,,,
,,,,,,,,,,,,,,151430,,,,
,,,,,,,,,,,,,,151454,,,,
,,,,,,,,,,,,,,151475,,,,
,,,,,,,,,,,,,,151478,,,,
,,,,,,,,,,,,,,151498,,,,
,,,,,,,,,,,,,,151513,,,,
,,,,,,,,,,,,,,151536,,,,
,,,,,,,,,,,,,,151540,,,,
,,,,,,,,,,,,,,151543,,,,
,,,,,,,,,,,,,,151547,,,,
,,,,,,,,,,,,,,151584,,,,
,,,,,,,,,,,,,,151585,,,,
,,,,,,,,,,,,,,151588,,,,
,,,,,,,,,,,,,,151591,,,,
,,,,,,,,,,,,,,151597,,,,
,,,,,,,,,,,,,,151612,,,,
,,,,,,,,,,,,,,151628,,,,
,,,,,,,,,,,,,,151637,,,,
,,,,,,,,,,,,,,151644,,,,
,,,,,,,,,,,,,,151659,,,,
,,,,,,,,,,,,,,151664,,,,
,,,,,,,,,,,,,,151672,,,,
,,,,,,,,,,,,,,151678,,,,
,,,,,,,,,,,,,,151715,,,,
,,,,,,,,,,,,,,151755,,,,
,,,,,,,,,,,,,,151756,,,,
,,,,,,,,,,,,,,151785,,,,
,,,,,,,,,,,,,,151791,,,,
,,,,,,,,,,,,,,151864,,,,
,,,,,,,,,,,,,,151867,,,,
,,,,,,,,,,,,,,151879,,,,
,,,,,,,,,,,,,,151892,,,,
,,,,,,,,,,,,,,151894,,,,
,,,,,,,,,,,,,,151928,,,,
,,,,,,,,,,,,,,151931,,,,
,,,,,,,,,,,,,,151932,,,,
,,,,,,,,,,,,,,151947,,,,
,,,,,,,,,,,,,,151980,,,,
,,,,,,,,,,,,,,151984,,,,
,,,,,,,,,,,,,,152000,,,,
,,,,,,,,,,,,,,152026,,,,
,,,,,,,,,,,,,,152032,,,,
,,,,,,,,,,,,,,152042,,,,
,,,,,,,,,,,,,,152057,,,,
,,,,,,,,,,,,,,152060,,,,
,,,,,,,,,,,,,,152079,,,,
,,,,,,,,,,,,,,152177,,,,
,,,,,,,,,,,,,,152183,,,,
,,,,,,,,,,,,,,152194,,,,
,,,,,,,,,,,,,,152200,,,,
,,,,,,,,,,,,,,152220,,,,
,,,,,,,,,,,,,,152222,,,,
,,,,,,,,,,,,,,152238,,,,
,,,,,,,,,,,,,,152251,,,,
,,,,,,,,,,,,,,152270,,,,
,,,,,,,,,,,,,,152272,,,,
,,,,,,,,,,,,,,152274,,,,
,,,,,,,,,,,,,,152275,,,,
,,,,,,,,,,,,,,152280,,,,
,,,,,,,,,,,,,,152284,,,,
,,,,,,,,,,,,,,152295,,,,
,,,,,,,,,,,,,,152376,,,,
,,,,,,,,,,,,,,152378,,,,
,,,,,,,,,,,,,,152382,,,,
,,,,,,,,,,,,,,152386,,,,
,,,,,,,,,,,,,,152387,,,,
,,,,,,,,,,,,,,152457,,,,
,,,,,,,,,,,,,,152471,,,,
,,,,,,,,,,,,,,152539,,,,
,,,,,,,,,,,,,,152555,,,,
,,,,,,,,,,,,,,152631,,,,
,,,,,,,,,,,,,,152636,,,,
,,,,,,,,,,,,,,152642,,,,
,,,,,,,,,,,,,,152661,,,,
,,,,,,,,,,,,,,152682,,,,
,,,,,,,,,,,,,,152698,,,,
,,,,,,,,,,,,,,152753,,,,
,,,,,,,,,,,,,,152764,,,,
,,,,,,,,,,,,,,152770,,,,
,,,,,,,,,,,,,,152798,,,,
,,,,,,,,,,,,,,152801,,,,
,,,,,,,,,,,,,,152870,,,,
,,,,,,,,,,,,,,152891,,,,
,,,,,,,,,,,,,,152892,,,,
,,,,,,,,,,,,,,152907,,,,
,,,,,,,,,,,,,,152921,,,,
,,,,,,,,,,,,,,152923,,,,
,,,,,,,,,,,,,,152930,,,,
,,,,,,,,,,,,,,152939,,,,
,,,,,,,,,,,,,,152942,,,,
,,,,,,,,,,,,,,152955,,,,
,,,,,,,,,,,,,,152965,,,,
,,,,,,,,,,,,,,152976,,,,
,,,,,,,,,,,,,,152996,,,,
,,,,,,,,,,,,,,153054,,,,
,,,,,,,,,,,,,,153061,,,,
,,,,,,,,,,,,,,153129,,,,
,,,,,,,,,,,,,,153130,,,,
,,,,,,,,,,,,,,153143,,,,
,,,,,,,,,,,,,,153164,,,,
,,,,,,,,,,,,,,153180,,,,
,,,,,,,,,,,,,,153196,,,,
,,,,,,,,,,,,,,153199,,,,
,,,,,,,,,,,,,,153254,,,,
,,,,,,,,,,,,,,153295,,,,
,,,,,,,,,,,,,,153307,,,,
,,,,,,,,,,,,,,153321,,,,
,,,,,,,,,,,,,,153350,,,,
,,,,,,,,,,,,,,153353,,,,
,,,,,,,,,,,,,,153371,,,,
,,,,,,,,,,,,,,153381,,,,
,,,,,,,,,,,,,,153384,,,,
,,,,,,,,,,,,,,153390,,,,
,,,,,,,,,,,,,,153409,,,,
,,,,,,,,,,,,,,153412,,,,
,,,,,,,,,,,,,,153419,,,,
,,,,,,,,,,,,,,153423,,,,
,,,,,,,,,,,,,,153425,,,,
,,,,,,,,,,,,,,153448,,,,
,,,,,,,,,,,,,,153510,,,,
,,,,,,,,,,,,,,153511,,,,
,,,,,,,,,,,,,,153543,,,,
,,,,,,,,,,,,,,153586,,,,
,,,,,,,,,,,,,,153621,,,,
,,,,,,,,,,,,,,153624,,,,
,,,,,,,,,,,,,,153627,,,,
,,,,,,,,,,,,,,153652,,,,
,,,,,,,,,,,,,,153658,,,,
,,,,,,,,,,,,,,153712,,,,
,,,,,,,,,,,,,,153719,,,,
,,,,,,,,,,,,,,153722,,,,
,,,,,,,,,,,,,,153744,,,,
,,,,,,,,,,,,,,153754,,,,
,,,,,,,,,,,,,,153806,,,,
,,,,,,,,,,,,,,153828,,,,
,,,,,,,,,,,,,,153867,,,,
,,,,,,,,,,,,,,153879,,,,
,,,,,,,,,,,,,,153882,,,,
,,,,,,,,,,,,,,153892,,,,
,,,,,,,,,,,,,,153930,,,,
,,,,,,,,,,,,,,153949,,,,
,,,,,,,,,,,,,,153971,,,,
,,,,,,,,,,,,,,154027,,,,
,,,,,,,,,,,,,,154060,,,,
,,,,,,,,,,,,,,154067,,,,
,,,,,,,,,,,,,,154069,,,,
,,,,,,,,,,,,,,154100,,,,
,,,,,,,,,,,,,,154101,,,,
,,,,,,,,,,,,,,154131,,,,
,,,,,,,,,,,,,,154167,,,,
,,,,,,,,,,,,,,154174,,,,
,,,,,,,,,,,,,,154220,,,,
,,,,,,,,,,,,,,154223,,,,
,,,,,,,,,,,,,,154243,,,,
,,,,,,,,,,,,,,154256,,,,
,,,,,,,,,,,,,,154258,,,,
,,,,,,,,,,,,,,154304,,,,
,,,,,,,,,,,,,,154308,,,,
,,,,,,,,,,,,,,154328,,,,
,,,,,,,,,,,,,,154350,,,,
,,,,,,,,,,,,,,154373,,,,
,,,,,,,,,,,,,,154391,,,,
,,,,,,,,,,,,,,154398,,,,
,,,,,,,,,,,,,,154416,,,,
,,,,,,,,,,,,,,154421,,,,
,,,,,,,,,,,,,,154427,,,,
,,,,,,,,,,,,,,154435,,,,
,,,,,,,,,,,,,,154458,,,,
,,,,,,,,,,,,,,154464,,,,
,,,,,,,,,,,,,,154465,,,,
,,,,,,,,,,,,,,154493,,,,
,,,,,,,,,,,,,,154540,,,,
,,,,,,,,,,,,,,154544,,,,
,,,,,,,,,,,,,,154550,,,,
,,,,,,,,,,,,,,154556,,,,
,,,,,,,,,,,,,,154591,,,,
,,,,,,,,,,,,,,154596,,,,
,,,,,,,,,,,,,,154603,,,,
,,,,,,,,,,,,,,154622,,,,
,,,,,,,,,,,,,,154627,,,,
,,,,,,,,,,,,,,154687,,,,
,,,,,,,,,,,,,,154699,,,,
,,,,,,,,,,,,,,154715,,,,
,,,,,,,,,,,,,,154720,,,,
,,,,,,,,,,,,,,154734,,,,
,,,,,,,,,,,,,,154787,,,,
,,,,,,,,,,,,,,154792,,,,
,,,,,,,,,,,,,,154812,,,,
,,,,,,,,,,,,,,154815,,,,
,,,,,,,,,,,,,,154825,,,,
,,,,,,,,,,,,,,154831,,,,
,,,,,,,,,,,,,,154844,,,,
,,,,,,,,,,,,,,154847,,,,
,,,,,,,,,,,,,,154848,,,,
,,,,,,,,,,,,,,154856,,,,
,,,,,,,,,,,,,,154858,,,,
,,,,,,,,,,,,,,154873,,,,
,,,,,,,,,,,,,,154883,,,,
,,,,,,,,,,,,,,154894,,,,
,,,,,,,,,,,,,,154915,,,,
,,,,,,,,,,,,,,154916,,,,
,,,,,,,,,,,,,,154917,,,,
,,,,,,,,,,,,,,154923,,,,
,,,,,,,,,,,,,,154928,,,,
,,,,,,,,,,,,,,154929,,,,
,,,,,,,,,,,,,,154959,,,,
,,,,,,,,,,,,,,154976,,,,
,,,,,,,,,,,,,,155000,,,,
,,,,,,,,,,,,,,155019,,,,
,,,,,,,,,,,,,,155042,,,,
,,,,,,,,,,,,,,155054,,,,
,,,,,,,,,,,,,,155068,,,,
,,,,,,,,,,,,,,155071,,,,
,,,,,,,,,,,,,,155089,,,,
,,,,,,,,,,,,,,155099,,,,
,,,,,,,,,,,,,,155100,,,,
,,,,,,,,,,,,,,155103,,,,
,,,,,,,,,,,,,,155131,,,,
,,,,,,,,,,,,,,155140,,,,
,,,,,,,,,,,,,,155158,,,,
,,,,,,,,,,,,,,155159,,,,
,,,,,,,,,,,,,,155161,,,,
,,,,,,,,,,,,,,155182,,,,
,,,,,,,,,,,,,,155186,,,,
,,,,,,,,,,,,,,155187,,,,
,,,,,,,,,,,,,,155195,,,,
,,,,,,,,,,,,,,155209,,,,
,,,,,,,,,,,,,,155223,,,,
,,,,,,,,,,,,,,155232,,,,
,,,,,,,,,,,,,,155240,,,,
,,,,,,,,,,,,,,155266,,,,
,,,,,,,,,,,,,,155276,,,,
,,,,,,,,,,,,,,155297,,,,
,,,,,,,,,,,,,,155300,,,,
,,,,,,,,,,,,,,155333,,,,
,,,,,,,,,,,,,,155335,,,,
,,,,,,,,,,,,,,155340,,,,
,,,,,,,,,,,,,,155342,,,,
,,,,,,,,,,,,,,155345,,,,
,,,,,,,,,,,,,,155359,,,,
,,,,,,,,,,,,,,155364,,,,
,,,,,,,,,,,,,,155371,,,,
,,,,,,,,,,,,,,155374,,,,
,,,,,,,,,,,,,,155398,,,,
,,,,,,,,,,,,,,155400,,,,
,,,,,,,,,,,,,,155404,,,,
,,,,,,,,,,,,,,155431,,,,
,,,,,,,,,,,,,,155486,,,,
,,,,,,,,,,,,,,155495,,,,
,,,,,,,,,,,,,,155520,,,,
,,,,,,,,,,,,,,155529,,,,
,,,,,,,,,,,,,,155541,,,,
,,,,,,,,,,,,,,155551,,,,
,,,,,,,,,,,,,,155575,,,,
,,,,,,,,,,,,,,155576,,,,
,,,,,,,,,,,,,,155579,,,,
,,,,,,,,,,,,,,155580,,,,
,,,,,,,,,,,,,,155587,,,,
,,,,,,,,,,,,,,155591,,,,
,,,,,,,,,,,,,,155601,,,,
,,,,,,,,,,,,,,155609,,,,
,,,,,,,,,,,,,,155621,,,,
,,,,,,,,,,,,,,155622,,,,
,,,,,,,,,,,,,,155624,,,,
,,,,,,,,,,,,,,155627,,,,
,,,,,,,,,,,,,,155639,,,,
,,,,,,,,,,,,,,155668,,,,
,,,,,,,,,,,,,,155671,,,,
,,,,,,,,,,,,,,155672,,,,
,,,,,,,,,,,,,,155677,,,,
,,,,,,,,,,,,,,155721,,,,
,,,,,,,,,,,,,,155759,,,,
,,,,,,,,,,,,,,155795,,,,
,,,,,,,,,,,,,,155805,,,,
,,,,,,,,,,,,,,155839,,,,
,,,,,,,,,,,,,,155845,,,,
,,,,,,,,,,,,,,155874,,,,
,,,,,,,,,,,,,,155878,,,,
,,,,,,,,,,,,,,155888,,,,
,,,,,,,,,,,,,,155906,,,,
,,,,,,,,,,,,,,155911,,,,
,,,,,,,,,,,,,,155917,,,,
,,,,,,,,,,,,,,155927,,,,
,,,,,,,,,,,,,,155952,,,,
,,,,,,,,,,,,,,155955,,,,
,,,,,,,,,,,,,,155957,,,,
,,,,,,,,,,,,,,155966,,,,
,,,,,,,,,,,,,,155993,,,,
,,,,,,,,,,,,,,155996,,,,
,,,,,,,,,,,,,,156000,,,,
,,,,,,,,,,,,,,156023,,,,
,,,,,,,,,,,,,,156030,,,,
,,,,,,,,,,,,,,156081,,,,
